ID_ATIV_ECON_ESTABELECIMENTO;LATITUDE;LONGITUDE
19896;-19.8753332;-43.9189153
19919;-19.9388489;-43.9752421
19632;-19.9346199;-43.9339697
18621;-19.8866059;-43.9067802
18984;-19.9215193;-43.924042
19677;-19.9680402;-43.9655163
19367;-19.9389948;-43.9199694
19705;-19.9407141;-43.9342101
18695;-19.9121894;-43.9035359
19031;-19.8796534;-43.913272
19716;-19.8073087;-43.9615775
19738;-19.9512067;-43.9875067
19762;-19.9246318;-43.953411
18745;-19.9162429;-43.9278764
19774;-19.9407141;-43.9342101
19776;-19.9281198;-43.9473471
19793;-19.9407141;-43.9342101
22668;-19.886146;-43.9358775
23000;-19.9349038;-43.9528627
23013;-19.8640334;-43.9330133
23313;-19.8889418;-43.9693112
23722;-19.9186355;-43.9405757
23335;-19.9165511;-43.934451
23734;-19.9064654;-43.9177325
22744;-19.8460286;-43.9765992
23071;-19.9407141;-43.9342101
23080;-19.8634011;-43.9441692
23852;-19.9216978;-43.9386879
23448;-19.900089;-43.9681819
23159;-19.9194337;-43.9511013
23161;-19.9238298;-43.9505076
23179;-19.8334652;-43.9578483
23482;-19.9719445;-43.975775
22868;-19.9216978;-43.9386879
23658;-19.9248849;-43.9471081
23527;-20.0089022;-44.0345106
23229;-19.9906391;-44.0002149
23260;-19.8867824;-43.8966672
23261;-19.9280609;-43.9577127
22625;-19.9469413;-43.9552445
22949;-19.9373581;-43.9342466
22116;-19.9293182;-43.9449302
22435;-19.8025842;-43.9708571
21796;-19.9338816;-43.93445
22180;-19.9253513;-43.9260105
22501;-19.8848493;-44.0070129
21532;-19.9280206;-43.9236003
22207;-19.9470309;-43.950314
22224;-19.9942491;-44.0105506
22603;-19.9197522;-43.9366953
21536;-19.9254503;-43.9195955
22228;-19.9754238;-43.9479098
22230;-19.7895562;-43.9489219
22239;-19.9245986;-43.927008
22522;-19.9945782;-44.0464278
21562;-19.9243836;-43.9445038
22262;-19.9293182;-43.9449302
21951;-19.935821;-43.9177962
22284;-19.8902883;-43.9678891
21962;-19.8287634;-43.9606177
21283;-19.9763249;-43.9717068
21307;-19.9025482;-43.9694262
21310;-19.8717156;-43.952051
21653;-19.9113801;-43.9216519
22022;-19.9438567;-43.9328698
22023;-19.9398984;-43.9318961
22031;-19.8756815;-43.9827431
22363;-19.940924;-43.9171593
21351;-19.9184312;-43.953584
21391;-19.924622;-43.937362
21414;-19.9158595;-43.9344473
26227;-19.9429289;-43.9263302
25271;-19.8992347;-43.9448638
25590;-19.9215955;-43.9503073
25910;-20.0030121;-44.0355999
25914;-19.9368606;-43.9378991
26253;-19.8464555;-43.9792279
25926;-19.9511376;-43.9816771
25956;-19.8589743;-43.9989138
26345;-19.896546;-43.9472948
25318;-19.9571651;-43.9659182
25327;-19.9196242;-43.9595079
25968;-20.1471358;-44.9005993
25997;-19.8930874;-43.9695709
26000;-19.9469379;-43.9488773
26469;-19.919299;-43.9565578
25363;-19.9396065;-43.9444739
25378;-19.9072535;-43.9599379
26005;-19.9449076;-43.9782178
26009;-19.9277932;-43.9649427
26373;-19.8997465;-43.9020946
25397;-19.9124014;-43.9241504
25417;-19.9629408;-43.9562696
25735;-19.942919;-44.0147731
26495;-19.9373995;-43.9396604
25439;-19.9276333;-43.9280034
25765;-19.9067324;-43.9220931
26073;-19.9421603;-43.964693
26457;-19.9346138;-43.9293347
25482;-19.8930634;-43.8961762
26268;-19.9236715;-43.9107488
26297;-19.9117851;-43.9023619
25528;-19.911051;-43.9131594
25547;-19.9343235;-43.9719949
25224;-19.938076;-44.0042682
25557;-19.8683826;-44.0004485
25566;-19.9367933;-43.9371305
25567;-19.9338816;-43.93445
25894;-19.9183016;-43.9608778
25244;-19.9276663;-43.9907038
25245;-19.8743441;-43.9261621
25578;-19.926466;-43.958381
25589;-19.9276333;-43.9280034
25047;-19.9031849;-43.9301587
24739;-19.9213665;-43.937866
24744;-19.9182726;-43.9340936
25077;-19.9473847;-43.9221665
25103;-19.8396507;-43.9312369
24099;-19.9201706;-43.9973468
24463;-19.9364854;-43.9661733
24464;-19.9740059;-44.0152495
24799;-19.9261022;-43.9183799
25148;-19.8151401;-43.9739755
24524;-19.9469112;-43.921493
25129;-19.9836449;-44.000363
24525;-19.9021258;-43.931761
24202;-19.9157411;-43.9417613
24548;-19.9259792;-43.9625819
24550;-19.9337118;-43.9718101
23918;-19.9825345;-44.0313563
24250;-19.9520207;-43.9224073
24592;-19.8818729;-43.9350099
23931;-19.9267616;-43.9618748
24268;-19.9233531;-43.939773
24623;-19.8900183;-44.0009465
24946;-19.9483253;-43.9206846
24950;-19.9150976;-43.9779104
24630;-19.8402628;-43.9158368
23971;-19.9412233;-43.9702171
23978;-19.8709219;-44.0145578
24674;-19.9275431;-43.9527957
24681;-19.9409654;-43.9355502
24714;-19.969302;-43.9622804
24361;-19.8939738;-43.998234
24373;-19.9387179;-43.9412853
28835;-19.9470184;-43.9420964
27936;-19.9084211;-43.8921179
28588;-19.9051088;-43.9320524
27980;-19.9182295;-43.9397663
28662;-19.9269037;-43.9523924
28663;-19.9093894;-43.8972664
28387;-19.8912133;-43.9724145
28999;-19.9243129;-43.9191181
29005;-19.9289261;-43.9433856
28711;-19.8192239;-43.9801314
28713;-19.9384716;-43.9342575
28718;-19.9340013;-44.0165907
28085;-19.935756;-44.010559
28429;-19.9722607;-43.9443825
28885;-19.8346925;-43.9883261
28117;-19.9625655;-43.9916218
28443;-19.8464555;-43.9792279
28907;-19.9228403;-43.9258327
28461;-19.9741654;-44.0131353
28148;-19.9476186;-43.9353593
28149;-19.9267096;-43.9458308
28795;-19.9757611;-44.0143761
27848;-19.9303247;-43.954101
28505;-19.9329995;-43.9456478
28810;-19.9109127;-43.9260469
26684;-19.9186127;-43.9513912
27370;-19.8373712;-43.9480678
26693;-19.9510527;-43.9349668
26694;-19.9389826;-43.938501
26695;-19.9722607;-43.9443825
26696;-19.972979;-43.9373734
26697;-19.9722607;-43.9443825
27386;-19.926274;-43.9420288
